id	pathway_id	pathway_name
8155	hsa04810	Regulation of actin cytoskeleton
8156	hsa05163	Human cytomegalovirus infection
8157	hsa05200	Pathways in cancer
8158	hsa05206	MicroRNAs in cancer
8159	hsa05214	Glioma
8160	hsa05215	Prostate cancer
8161	hsa05218	Melanoma
8162	hsa05230	Central carbon metabolism in cancer
8163	hsa05231	Choline metabolism in cancer
8164	hsa01522	Endocrine resistance
8165	hsa04110	Cell cycle
8166	hsa04218	Cellular senescence
8167	hsa04934	Cushing syndrome
8168	hsa05160	Hepatitis C
8169	hsa05161	Hepatitis B
8170	hsa05163	Human cytomegalovirus infection
8171	hsa05165	Human papillomavirus infection
8172	hsa05166	Human T-cell leukemia virus 1 infection
8173	hsa05167	Kaposi sarcoma-associated herpesvirus infection
8174	hsa05169	Epstein-Barr virus infection
8175	hsa05200	Pathways in cancer
8176	hsa05203	Viral carcinogenesis
8177	hsa05212	Pancreatic cancer
8178	hsa05214	Glioma
8179	hsa05215	Prostate cancer
8180	hsa05218	Melanoma
8181	hsa05219	Bladder cancer
8182	hsa05220	Chronic myeloid leukemia
8183	hsa05222	Small cell lung cancer
8184	hsa05223	Non-small cell lung cancer
8185	hsa05224	Breast cancer
8186	hsa05225	Hepatocellular carcinoma
8187	hsa05226	Gastric cancer
8188	hsa03060	Protein export
8189	hsa04141	Protein processing in endoplasmic reticulum
8190	hsa04145	Phagosome
8191	hsa05110	Vibrio cholerae infection
8192	hsa03022	Basal transcription factors
8193	hsa05016	Huntington disease
8194	hsa05165	Human papillomavirus infection
8195	hsa05166	Human T-cell leukemia virus 1 infection
8196	hsa05203	Viral carcinogenesis
8197	hsa05034	Alcoholism
8198	hsa04140	Autophagy - animal
8199	hsa05200	Pathways in cancer
8200	hsa05219	Bladder cancer
8201	hsa04068	FoxO signaling pathway
8202	hsa05202	Transcriptional misregulation in cancer
8203	hsa04142	Lysosome
8204	hsa04142	Lysosome
8205	hsa04024	cAMP signaling pathway
8206	hsa04080	Neuroactive ligand-receptor interaction
8207	hsa04727	GABAergic synapse
8208	hsa04742	Taste transduction
8209	hsa04915	Estrogen signaling pathway
8210	hsa05032	Morphine addiction
8211	hsa04514	Cell adhesion molecules (CAMs)
8212	hsa04520	Adherens junction
8213	hsa05160	Hepatitis C
8214	hsa04012	ErbB signaling pathway
8215	hsa04014	Ras signaling pathway
8216	hsa04360	Axon guidance
8217	hsa04510	Focal adhesion
8218	hsa04660	T cell receptor signaling pathway
8219	hsa04810	Regulation of actin cytoskeleton
8220	hsa05170	Human immunodeficiency virus 1 infection
8221	hsa05206	MicroRNAs in cancer
8222	hsa05211	Renal cell carcinoma
8223	hsa00310	Lysine degradation
8224	hsa04550	Signaling pathways regulating pluripotency of stem cells
8225	hsa00220	Arginine biosynthesis
8226	hsa00250	Alanine, aspartate and glutamate metabolism
8227	hsa00471	D-Glutamine and D-glutamate metabolism
8228	hsa01100	Metabolic pathways
8229	hsa04724	Glutamatergic synapse
8230	hsa04727	GABAergic synapse
8231	hsa04964	Proximal tubule bicarbonate reclamation
8232	hsa05206	MicroRNAs in cancer
8233	hsa05230	Central carbon metabolism in cancer
8234	hsa00220	Arginine biosynthesis
8235	hsa00250	Alanine, aspartate and glutamate metabolism
8236	hsa00471	D-Glutamine and D-glutamate metabolism
8237	hsa01100	Metabolic pathways
8238	hsa04724	Glutamatergic synapse
8239	hsa04727	GABAergic synapse
8240	hsa04964	Proximal tubule bicarbonate reclamation
8241	hsa05206	MicroRNAs in cancer
8242	hsa05230	Central carbon metabolism in cancer
8243	hsa00220	Arginine biosynthesis
8244	hsa00250	Alanine, aspartate and glutamate metabolism
8245	hsa00471	D-Glutamine and D-glutamate metabolism
8246	hsa01100	Metabolic pathways
8247	hsa04724	Glutamatergic synapse
8248	hsa04727	GABAergic synapse
8249	hsa04964	Proximal tubule bicarbonate reclamation
8250	hsa05206	MicroRNAs in cancer
8251	hsa05230	Central carbon metabolism in cancer
8252	hsa00604	Glycosphingolipid biosynthesis - ganglio series
8253	hsa01100	Metabolic pathways
8254	hsa00604	Glycosphingolipid biosynthesis - ganglio series
8255	hsa01100	Metabolic pathways
8256	hsa04022	cGMP-PKG signaling pathway
8257	hsa04141	Protein processing in endoplasmic reticulum
8258	hsa04151	PI3K-Akt signaling pathway
8259	hsa04211	Longevity regulating pathway
8260	hsa04261	Adrenergic signaling in cardiomyocytes
8261	hsa04668	TNF signaling pathway
8262	hsa04728	Dopaminergic synapse
8263	hsa04911	Insulin secretion
8264	hsa04915	Estrogen signaling pathway
8265	hsa04918	Thyroid hormone synthesis
8266	hsa04925	Aldosterone synthesis and secretion
8267	hsa04926	Relaxin signaling pathway
8268	hsa04927	Cortisol synthesis and secretion
8269	hsa04928	Parathyroid hormone synthesis, secretion and action
8270	hsa04934	Cushing syndrome
8271	hsa05030	Cocaine addiction
8272	hsa05031	Amphetamine addiction
8273	hsa05034	Alcoholism
8274	hsa05161	Hepatitis B
8275	hsa05163	Human cytomegalovirus infection
8276	hsa05166	Human T-cell leukemia virus 1 infection
8277	hsa05203	Viral carcinogenesis
8278	hsa03013	RNA transport
8279	hsa05100	Bacterial invasion of epithelial cells
8280	hsa05131	Shigellosis
8281	hsa05132	Salmonella infection
8282	hsa04371	Apelin signaling pathway
8283	hsa05016	Huntington disease
8284	hsa04371	Apelin signaling pathway
8285	hsa05016	Huntington disease
8286	hsa00260	Glycine, serine and threonine metabolism
8287	hsa00330	Arginine and proline metabolism
8288	hsa01100	Metabolic pathways
8289	hsa00052	Galactose metabolism
8290	hsa00520	Amino sugar and nucleotide sugar metabolism
8291	hsa01100	Metabolic pathways
8292	hsa04917	Prolactin signaling pathway
8293	hsa00010	Glycolysis / Gluconeogenesis
8294	hsa00340	Histidine metabolism
8295	hsa00350	Tyrosine metabolism
8296	hsa00360	Phenylalanine metabolism
8297	hsa00410	beta-Alanine metabolism
8298	hsa00980	Metabolism of xenobiotics by cytochrome P450
8299	hsa00982	Drug metabolism - cytochrome P450
8300	hsa01100	Metabolic pathways
8301	hsa05204	Chemical carcinogenesis
8302	hsa04714	Thermogenesis
8303	hsa05225	Hepatocellular carcinoma
8304	hsa04392	Hippo signaling pathway - multiple species
8305	hsa04510	Focal adhesion
8306	hsa04810	Regulation of actin cytoskeleton
8307	hsa05100	Bacterial invasion of epithelial cells
8308	hsa05131	Shigellosis
8309	hsa00515	Mannose type O-glycan biosynthesis
8310	hsa01100	Metabolic pathways
8311	hsa02010	ABC transporters
8312	hsa02010	ABC transporters
8313	hsa03013	RNA transport
8314	hsa05164	Influenza A
8315	hsa03013	RNA transport
8316	hsa05164	Influenza A
8317	hsa01523	Antifolate resistance
8318	hsa02010	ABC transporters
8319	hsa04024	cAMP signaling pathway
8320	hsa04976	Bile secretion
8321	hsa05202	Transcriptional misregulation in cancer
8322	hsa00051	Fructose and mannose metabolism
8323	hsa00520	Amino sugar and nucleotide sugar metabolism
8324	hsa01100	Metabolic pathways
8325	hsa03030	DNA replication
8326	hsa03420	Nucleotide excision repair
8327	hsa03430	Mismatch repair
8328	hsa03030	DNA replication
8329	hsa03420	Nucleotide excision repair
8330	hsa03430	Mismatch repair
8331	hsa00562	Inositol phosphate metabolism
8332	hsa01100	Metabolic pathways
8333	hsa04070	Phosphatidylinositol signaling system
8334	hsa00562	Inositol phosphate metabolism
8335	hsa01100	Metabolic pathways
8336	hsa04070	Phosphatidylinositol signaling system
8337	hsa04110	Cell cycle
8338	hsa04114	Oocyte meiosis
8339	hsa04115	p53 signaling pathway
8340	hsa04218	Cellular senescence
8341	hsa04540	Gap junction
8342	hsa04914	Progesterone-mediated oocyte maturation
8343	hsa05170	Human immunodeficiency virus 1 infection
8344	hsa05203	Viral carcinogenesis
8345	hsa04110	Cell cycle
8346	hsa04114	Oocyte meiosis
8347	hsa04115	p53 signaling pathway
8348	hsa04218	Cellular senescence
8349	hsa04540	Gap junction
8350	hsa04914	Progesterone-mediated oocyte maturation
8351	hsa05170	Human immunodeficiency virus 1 infection
8352	hsa05203	Viral carcinogenesis
8353	hsa00604	Glycosphingolipid biosynthesis - ganglio series
8354	hsa01100	Metabolic pathways
8355	hsa01522	Endocrine resistance
8356	hsa04010	MAPK signaling pathway
8357	hsa04012	ErbB signaling pathway
8358	hsa04014	Ras signaling pathway
8359	hsa04024	cAMP signaling pathway
8360	hsa04068	FoxO signaling pathway
8361	hsa04071	Sphingolipid signaling pathway
8362	hsa04137	Mitophagy - animal
8363	hsa04140	Autophagy - animal
8364	hsa04141	Protein processing in endoplasmic reticulum
8365	hsa04210	Apoptosis
8366	hsa04215	Apoptosis - multiple species
8367	hsa04217	Necroptosis
8368	hsa04310	Wnt signaling pathway
8369	hsa04380	Osteoclast differentiation
8370	hsa04510	Focal adhesion
8371	hsa04530	Tight junction
8372	hsa04620	Toll-like receptor signaling pathway
8373	hsa04621	NOD-like receptor signaling pathway
8374	hsa04622	RIG-I-like receptor signaling pathway
8375	hsa04625	C-type lectin receptor signaling pathway
8376	hsa04657	IL-17 signaling pathway
8377	hsa04658	Th1 and Th2 cell differentiation
8378	hsa04659	Th17 cell differentiation
8379	hsa04660	T cell receptor signaling pathway
8380	hsa04664	Fc epsilon RI signaling pathway
8381	hsa04668	TNF signaling pathway
8382	hsa04722	Neurotrophin signaling pathway
8383	hsa04723	Retrograde endocannabinoid signaling
8384	hsa04728	Dopaminergic synapse
8385	hsa04750	Inflammatory mediator regulation of TRP channels
8386	hsa04910	Insulin signaling pathway
8387	hsa04912	GnRH signaling pathway
8388	hsa04914	Progesterone-mediated oocyte maturation
8389	hsa04917	Prolactin signaling pathway
8390	hsa04920	Adipocytokine signaling pathway
8391	hsa04926	Relaxin signaling pathway
8392	hsa04930	Type II diabetes mellitus
8393	hsa04931	Insulin resistance
8394	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
8395	hsa04933	AGE-RAGE signaling pathway in diabetic complications
8396	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
8397	hsa05131	Shigellosis
8398	hsa05132	Salmonella infection
8399	hsa05133	Pertussis
8400	hsa05142	Chagas disease (American trypanosomiasis)
8401	hsa05145	Toxoplasmosis
8402	hsa05152	Tuberculosis
8403	hsa05161	Hepatitis B
8404	hsa05162	Measles
8405	hsa05164	Influenza A
8406	hsa05166	Human T-cell leukemia virus 1 infection
8407	hsa05167	Kaposi sarcoma-associated herpesvirus infection
8408	hsa05169	Epstein-Barr virus infection
8409	hsa05170	Human immunodeficiency virus 1 infection
8410	hsa05200	Pathways in cancer
8411	hsa05210	Colorectal cancer
8412	hsa05212	Pancreatic cancer
8413	hsa05231	Choline metabolism in cancer
8414	hsa05418	Fluid shear stress and atherosclerosis
8415	hsa00230	Purine metabolism
8416	hsa01100	Metabolic pathways
8417	hsa04144	Endocytosis
8418	hsa00740	Riboflavin metabolism
8419	hsa01100	Metabolic pathways
8420	hsa00740	Riboflavin metabolism
8421	hsa01100	Metabolic pathways
8422	hsa00565	Ether lipid metabolism
8423	hsa01100	Metabolic pathways
8424	hsa04150	mTOR signaling pathway
8425	hsa04310	Wnt signaling pathway
8426	hsa04330	Notch signaling pathway
8427	hsa04390	Hippo signaling pathway
8428	hsa04550	Signaling pathways regulating pluripotency of stem cells
8429	hsa04916	Melanogenesis
8430	hsa04934	Cushing syndrome
8431	hsa05165	Human papillomavirus infection
8432	hsa05200	Pathways in cancer
8433	hsa05217	Basal cell carcinoma
8434	hsa05224	Breast cancer
8435	hsa05225	Hepatocellular carcinoma
8436	hsa05226	Gastric cancer
8437	hsa04060	Cytokine-cytokine receptor interaction
8438	hsa04151	PI3K-Akt signaling pathway
8439	hsa04630	Jak-STAT signaling pathway
8440	hsa04640	Hematopoietic cell lineage
8441	hsa04658	Th1 and Th2 cell differentiation
8442	hsa04659	Th17 cell differentiation
8443	hsa05200	Pathways in cancer
8444	hsa05321	Inflammatory bowel disease (IBD)
8445	hsa00240	Pyrimidine metabolism
8446	hsa00983	Drug metabolism - other enzymes
8447	hsa01100	Metabolic pathways
8448	hsa04614	Renin-angiotensin system
8449	hsa05143	African trypanosomiasis
8450	hsa01522	Endocrine resistance
8451	hsa04330	Notch signaling pathway
8452	hsa04371	Apelin signaling pathway
8453	hsa04658	Th1 and Th2 cell differentiation
8454	hsa04919	Thyroid hormone signaling pathway
8455	hsa05165	Human papillomavirus infection
8456	hsa05200	Pathways in cancer
8457	hsa05206	MicroRNAs in cancer
8458	hsa05224	Breast cancer
8459	hsa01522	Endocrine resistance
8460	hsa04330	Notch signaling pathway
8461	hsa04371	Apelin signaling pathway
8462	hsa04658	Th1 and Th2 cell differentiation
8463	hsa04919	Thyroid hormone signaling pathway
8464	hsa05165	Human papillomavirus infection
8465	hsa05200	Pathways in cancer
8466	hsa05206	MicroRNAs in cancer
8467	hsa05224	Breast cancer
8468	hsa03018	RNA degradation
8469	hsa04140	Autophagy - animal
8470	hsa04146	Peroxisome
8471	hsa04150	mTOR signaling pathway
8472	hsa00310	Lysine degradation
8473	hsa04070	Phosphatidylinositol signaling system
8474	hsa04015	Rap1 signaling pathway
8475	hsa04510	Focal adhesion
8476	hsa04611	Platelet activation
8477	hsa05166	Human T-cell leukemia virus 1 infection
8478	hsa04514	Cell adhesion molecules (CAMs)
8479	hsa04962	Vasopressin-regulated water reabsorption
8480	hsa04010	MAPK signaling pathway
8481	hsa04012	ErbB signaling pathway
8482	hsa04620	Toll-like receptor signaling pathway
8483	hsa04664	Fc epsilon RI signaling pathway
8484	hsa04668	TNF signaling pathway
8485	hsa04912	GnRH signaling pathway
8486	hsa04926	Relaxin signaling pathway
8487	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
8488	hsa05142	Chagas disease (American trypanosomiasis)
8489	hsa05161	Hepatitis B
8490	hsa05164	Influenza A
8491	hsa05166	Human T-cell leukemia virus 1 infection
8492	hsa05167	Kaposi sarcoma-associated herpesvirus infection
8493	hsa05169	Epstein-Barr virus infection
8494	hsa05418	Fluid shear stress and atherosclerosis
8495	hsa04010	MAPK signaling pathway
8496	hsa04012	ErbB signaling pathway
8497	hsa04620	Toll-like receptor signaling pathway
8498	hsa04664	Fc epsilon RI signaling pathway
8499	hsa04668	TNF signaling pathway
8500	hsa04912	GnRH signaling pathway
8501	hsa04926	Relaxin signaling pathway
8502	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
8503	hsa05142	Chagas disease (American trypanosomiasis)
8504	hsa05161	Hepatitis B
8505	hsa05164	Influenza A
8506	hsa05166	Human T-cell leukemia virus 1 infection
8507	hsa05167	Kaposi sarcoma-associated herpesvirus infection
8508	hsa05169	Epstein-Barr virus infection
8509	hsa05418	Fluid shear stress and atherosclerosis
8510	hsa04071	Sphingolipid signaling pathway
8511	hsa00240	Pyrimidine metabolism
8512	hsa01100	Metabolic pathways
8513	hsa04210	Apoptosis
8514	hsa04210	Apoptosis
8515	hsa04141	Protein processing in endoplasmic reticulum
8516	hsa00500	Starch and sucrose metabolism
8517	hsa01100	Metabolic pathways
8518	hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
8519	hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
8520	hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
8521	hsa04150	mTOR signaling pathway
8522	hsa04145	Phagosome
8523	hsa04514	Cell adhesion molecules (CAMs)
8524	hsa04612	Antigen processing and presentation
8525	hsa04640	Hematopoietic cell lineage
8526	hsa04658	Th1 and Th2 cell differentiation
8527	hsa04659	Th17 cell differentiation
8528	hsa04672	Intestinal immune network for IgA production
8529	hsa04940	Type I diabetes mellitus
8530	hsa05140	Leishmaniasis
8531	hsa05145	Toxoplasmosis
8532	hsa05150	Staphylococcus aureus infection
8533	hsa05152	Tuberculosis
8534	hsa05164	Influenza A
8535	hsa05166	Human T-cell leukemia virus 1 infection
8536	hsa05168	Herpes simplex virus 1 infection
8537	hsa05169	Epstein-Barr virus infection
8538	hsa05310	Asthma
8539	hsa05320	Autoimmune thyroid disease
8540	hsa05321	Inflammatory bowel disease (IBD)
8541	hsa05322	Systemic lupus erythematosus
8542	hsa05323	Rheumatoid arthritis
8543	hsa05330	Allograft rejection
8544	hsa05332	Graft-versus-host disease
8545	hsa05416	Viral myocarditis
8546	hsa03018	RNA degradation
8547	hsa04141	Protein processing in endoplasmic reticulum
8548	hsa04141	Protein processing in endoplasmic reticulum
8549	hsa04022	cGMP-PKG signaling pathway
8550	hsa04024	cAMP signaling pathway
8551	hsa04260	Cardiac muscle contraction
8552	hsa04261	Adrenergic signaling in cardiomyocytes
8553	hsa04911	Insulin secretion
8554	hsa04918	Thyroid hormone synthesis
8555	hsa04919	Thyroid hormone signaling pathway
8556	hsa04925	Aldosterone synthesis and secretion
8557	hsa04960	Aldosterone-regulated sodium reabsorption
8558	hsa04961	Endocrine and other factor-regulated calcium reabsorption
8559	hsa04964	Proximal tubule bicarbonate reclamation
8560	hsa04970	Salivary secretion
8561	hsa04971	Gastric acid secretion
8562	hsa04972	Pancreatic secretion
8563	hsa04973	Carbohydrate digestion and absorption
8564	hsa04974	Protein digestion and absorption
8565	hsa04976	Bile secretion
8566	hsa04978	Mineral absorption
8567	hsa04022	cGMP-PKG signaling pathway
8568	hsa04024	cAMP signaling pathway
8569	hsa04260	Cardiac muscle contraction
8570	hsa04261	Adrenergic signaling in cardiomyocytes
8571	hsa04911	Insulin secretion
8572	hsa04918	Thyroid hormone synthesis
8573	hsa04919	Thyroid hormone signaling pathway
8574	hsa04925	Aldosterone synthesis and secretion
8575	hsa04960	Aldosterone-regulated sodium reabsorption
8576	hsa04961	Endocrine and other factor-regulated calcium reabsorption
8577	hsa04964	Proximal tubule bicarbonate reclamation
8578	hsa04970	Salivary secretion
8579	hsa04971	Gastric acid secretion
8580	hsa04972	Pancreatic secretion
8581	hsa04973	Carbohydrate digestion and absorption
8582	hsa04974	Protein digestion and absorption
8583	hsa04976	Bile secretion
8584	hsa04978	Mineral absorption
8585	hsa04550	Signaling pathways regulating pluripotency of stem cells
8586	hsa04550	Signaling pathways regulating pluripotency of stem cells
8587	hsa04142	Lysosome
8588	hsa05170	Human immunodeficiency virus 1 infection
8589	hsa04142	Lysosome
8590	hsa05170	Human immunodeficiency virus 1 infection
8591	hsa00230	Purine metabolism
8592	hsa00240	Pyrimidine metabolism
8593	hsa01100	Metabolic pathways
8594	hsa04310	Wnt signaling pathway
8595	hsa04350	TGF-beta signaling pathway
8596	hsa04610	Complement and coagulation cascades
8597	hsa04014	Ras signaling pathway
8598	hsa04072	Phospholipase D signaling pathway
8599	hsa04144	Endocytosis
8600	hsa04666	Fc gamma R-mediated phagocytosis
8601	hsa04014	Ras signaling pathway
8602	hsa04072	Phospholipase D signaling pathway
8603	hsa04144	Endocytosis
8604	hsa04666	Fc gamma R-mediated phagocytosis
8605	hsa04350	TGF-beta signaling pathway
8606	hsa04012	ErbB signaling pathway
8607	hsa04360	Axon guidance
8608	hsa04660	T cell receptor signaling pathway
8609	hsa05130	Pathogenic Escherichia coli infection
8610	hsa03040	Spliceosome
8611	hsa04144	Endocytosis
8612	hsa04722	Neurotrophin signaling pathway
8613	hsa04144	Endocytosis
8614	hsa04510	Focal adhesion
8615	hsa05100	Bacterial invasion of epithelial cells
8616	hsa05205	Proteoglycans in cancer
8617	hsa05418	Fluid shear stress and atherosclerosis
8618	hsa04144	Endocytosis
8619	hsa04510	Focal adhesion
8620	hsa05100	Bacterial invasion of epithelial cells
8621	hsa05205	Proteoglycans in cancer
8622	hsa05418	Fluid shear stress and atherosclerosis
8623	hsa04974	Protein digestion and absorption
8624	hsa05010	Alzheimer disease
8625	hsa05010	Alzheimer disease
8626	hsa04514	Cell adhesion molecules (CAMs)
8627	hsa04520	Adherens junction
8628	hsa04130	SNARE interactions in vesicular transport
8629	hsa00562	Inositol phosphate metabolism
8630	hsa01100	Metabolic pathways
8631	hsa04070	Phosphatidylinositol signaling system
8632	hsa04662	B cell receptor signaling pathway
8633	hsa04664	Fc epsilon RI signaling pathway
8634	hsa04666	Fc gamma R-mediated phagocytosis
8635	hsa00562	Inositol phosphate metabolism
8636	hsa01100	Metabolic pathways
8637	hsa04070	Phosphatidylinositol signaling system
8638	hsa04662	B cell receptor signaling pathway
8639	hsa04664	Fc epsilon RI signaling pathway
8640	hsa04666	Fc gamma R-mediated phagocytosis
8641	hsa03040	Spliceosome
8642	hsa04146	Peroxisome
8643	hsa03015	mRNA surveillance pathway
8644	hsa04071	Sphingolipid signaling pathway
8645	hsa04114	Oocyte meiosis
8646	hsa04151	PI3K-Akt signaling pathway
8647	hsa04152	AMPK signaling pathway
8648	hsa04261	Adrenergic signaling in cardiomyocytes
8649	hsa04728	Dopaminergic synapse
8650	hsa05165	Human papillomavirus infection
8651	hsa00040	Pentose and glucuronate interconversions
8652	hsa00053	Ascorbate and aldarate metabolism
8653	hsa00520	Amino sugar and nucleotide sugar metabolism
8654	hsa01100	Metabolic pathways
8655	hsa03440	Homologous recombination
8656	hsa05202	Transcriptional misregulation in cancer
8657	hsa05215	Prostate cancer
8658	hsa05202	Transcriptional misregulation in cancer
8659	hsa05215	Prostate cancer
8660	hsa04142	Lysosome
8661	hsa05170	Human immunodeficiency virus 1 infection
8662	hsa04110	Cell cycle
8663	hsa04110	Cell cycle
8664	hsa04144	Endocytosis
8665	hsa04144	Endocytosis
8666	hsa00310	Lysine degradation
8667	hsa05206	MicroRNAs in cancer
8668	hsa04110	Cell cycle
8669	hsa04114	Oocyte meiosis
8670	hsa04914	Progesterone-mediated oocyte maturation
8671	hsa05166	Human T-cell leukemia virus 1 infection
8672	hsa04136	Autophagy - other
8673	hsa04140	Autophagy - animal
8674	hsa04211	Longevity regulating pathway
8675	hsa04136	Autophagy - other
8676	hsa04140	Autophagy - animal
8677	hsa04211	Longevity regulating pathway
8678	hsa04928	Parathyroid hormone synthesis, secretion and action
8679	hsa00190	Oxidative phosphorylation
8680	hsa01100	Metabolic pathways
8681	hsa04714	Thermogenesis
8682	hsa04723	Retrograde endocannabinoid signaling
8683	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
8684	hsa05010	Alzheimer disease
8685	hsa05012	Parkinson disease
8686	hsa05016	Huntington disease
8687	hsa04630	Jak-STAT signaling pathway
8688	hsa04910	Insulin signaling pathway
8689	hsa04917	Prolactin signaling pathway
8690	hsa04930	Type II diabetes mellitus
8691	hsa04630	Jak-STAT signaling pathway
8692	hsa04910	Insulin signaling pathway
8693	hsa04917	Prolactin signaling pathway
8694	hsa04930	Type II diabetes mellitus
8695	hsa03040	Spliceosome
8696	hsa03040	Spliceosome
8697	hsa03015	mRNA surveillance pathway
8698	hsa04010	MAPK signaling pathway
8699	hsa04114	Oocyte meiosis
8700	hsa04150	mTOR signaling pathway
8701	hsa04714	Thermogenesis
8702	hsa04720	Long-term potentiation
8703	hsa04722	Neurotrophin signaling pathway
8704	hsa04914	Progesterone-mediated oocyte maturation
8705	hsa04931	Insulin resistance
8706	hsa03040	Spliceosome
8707	hsa05168	Herpes simplex virus 1 infection
8708	hsa04979	Cholesterol metabolism
8709	hsa05010	Alzheimer disease
8710	hsa04979	Cholesterol metabolism
8711	hsa05010	Alzheimer disease
8712	hsa00561	Glycerolipid metabolism
8713	hsa00564	Glycerophospholipid metabolism
8714	hsa01100	Metabolic pathways
8715	hsa04070	Phosphatidylinositol signaling system
8716	hsa04072	Phospholipase D signaling pathway
8717	hsa05231	Choline metabolism in cancer
8718	hsa04919	Thyroid hormone signaling pathway
8719	hsa04931	Insulin resistance
8720	hsa04919	Thyroid hormone signaling pathway
8721	hsa04931	Insulin resistance
8722	hsa04010	MAPK signaling pathway
8723	hsa04062	Chemokine signaling pathway
8724	hsa04144	Endocytosis
8725	hsa04340	Hedgehog signaling pathway
8726	hsa04728	Dopaminergic synapse
8727	hsa04740	Olfactory transduction
8728	hsa04926	Relaxin signaling pathway
8729	hsa04928	Parathyroid hormone synthesis, secretion and action
8730	hsa05032	Morphine addiction
8731	hsa04310	Wnt signaling pathway
8732	hsa04330	Notch signaling pathway
8733	hsa05200	Pathways in cancer
8734	hsa05220	Chronic myeloid leukemia
8735	hsa03460	Fanconi anemia pathway
8736	hsa04330	Notch signaling pathway
8737	hsa04950	Maturity onset diabetes of the young
8738	hsa05165	Human papillomavirus infection
8739	hsa05169	Epstein-Barr virus infection
8740	hsa05200	Pathways in cancer
8741	hsa05224	Breast cancer
8742	hsa03460	Fanconi anemia pathway
8743	hsa04330	Notch signaling pathway
8744	hsa04950	Maturity onset diabetes of the young
8745	hsa05165	Human papillomavirus infection
8746	hsa05169	Epstein-Barr virus infection
8747	hsa05200	Pathways in cancer
8748	hsa05224	Breast cancer
8749	hsa03460	Fanconi anemia pathway
8750	hsa04330	Notch signaling pathway
8751	hsa04950	Maturity onset diabetes of the young
8752	hsa05165	Human papillomavirus infection
8753	hsa05169	Epstein-Barr virus infection
8754	hsa05200	Pathways in cancer
8755	hsa05224	Breast cancer
8756	hsa03050	Proteasome
8757	hsa00512	Mucin type O-glycan biosynthesis
8758	hsa01100	Metabolic pathways
8759	hsa00512	Mucin type O-glycan biosynthesis
8760	hsa01100	Metabolic pathways
8761	hsa04066	HIF-1 signaling pathway
8762	hsa04216	Ferroptosis
8763	hsa04978	Mineral absorption
8764	hsa00030	Pentose phosphate pathway
8765	hsa00230	Purine metabolism
8766	hsa01100	Metabolic pathways
8767	hsa01200	Carbon metabolism
8768	hsa01230	Biosynthesis of amino acids
8769	hsa03420	Nucleotide excision repair
8770	hsa04115	p53 signaling pathway
8771	hsa04120	Ubiquitin mediated proteolysis
8772	hsa05161	Hepatitis B
8773	hsa05169	Epstein-Barr virus infection
8774	hsa05200	Pathways in cancer
8775	hsa05202	Transcriptional misregulation in cancer
8776	hsa05210	Colorectal cancer
8777	hsa05212	Pancreatic cancer
8778	hsa05213	Endometrial cancer
8779	hsa05214	Glioma
8780	hsa05216	Thyroid cancer
8781	hsa05217	Basal cell carcinoma
8782	hsa05218	Melanoma
8783	hsa05220	Chronic myeloid leukemia
8784	hsa05222	Small cell lung cancer
8785	hsa05223	Non-small cell lung cancer
8786	hsa05224	Breast cancer
8787	hsa05225	Hepatocellular carcinoma
8788	hsa05226	Gastric cancer
8789	hsa04142	Lysosome
8790	hsa04210	Apoptosis
8791	hsa05410	Hypertrophic cardiomyopathy (HCM)
8792	hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
8793	hsa05414	Dilated cardiomyopathy (DCM)
8794	hsa04110	Cell cycle
8795	hsa04152	AMPK signaling pathway
8796	hsa04218	Cellular senescence
8797	hsa04914	Progesterone-mediated oocyte maturation
8798	hsa05161	Hepatitis B
8799	hsa05165	Human papillomavirus infection
8800	hsa05166	Human T-cell leukemia virus 1 infection
8801	hsa05169	Epstein-Barr virus infection
8802	hsa05203	Viral carcinogenesis
8803	hsa00310	Lysine degradation
8804	hsa03030	DNA replication
8805	hsa03410	Base excision repair
8806	hsa03420	Nucleotide excision repair
8807	hsa03430	Mismatch repair
8808	hsa03440	Homologous recombination
8809	hsa00670	One carbon pool by folate
8810	hsa01100	Metabolic pathways
8811	hsa04614	Renin-angiotensin system
8812	hsa04640	Hematopoietic cell lineage
8813	hsa04974	Protein digestion and absorption
8814	hsa05010	Alzheimer disease
8815	hsa04614	Renin-angiotensin system
8816	hsa04640	Hematopoietic cell lineage
8817	hsa04974	Protein digestion and absorption
8818	hsa05010	Alzheimer disease
8819	hsa03008	Ribosome biogenesis in eukaryotes
8820	hsa03013	RNA transport
8821	hsa04514	Cell adhesion molecules (CAMs)
8822	hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
8823	hsa04514	Cell adhesion molecules (CAMs)
8824	hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
