	pathway	gene1	gene2
2417	hsa00140	CYP1A1	UGT2B11...
2418	hsa00140	CYP1B1	UGT2B11...
2422	hsa00140	CYP1B1	COMT
2433	hsa00140	CYP11B2	CYP11B2
2435	hsa00140	SULT1E1	CYP19A1
2436	hsa00140	UGT2B11...	CYP19A1
2437	hsa00140	HSD17B1	CYP19A1
2438	hsa00140	AKR1C3	CYP19A1
2442	hsa00140	HSD3B1	CYP2E1
2444	hsa00140	SULT2B1	CYP2E1
2445	hsa00140	STS	CYP2E1
2446	hsa00140	AKR1C3	CYP2E1
2449	hsa00140	CYP2E1	CYP7A1
2450	hsa00140	CYP2E1	CYP17A1
2451	hsa00140	CYP3A4	HSD17B1
2452	hsa00140	AKR1C3	CYP3A4
2453	hsa00140	HSD17B1	CYP3A4
2454	hsa00140	CYP3A4	CYP1A1
2455	hsa00140	CYP3A4	UGT2B11...
2456	hsa00140	CYP3A4	SULT1E1
2457	hsa00140	CYP3A4	CYP19A1
2458	hsa00140	CYP3A5	CYP19A1
2459	hsa00140	CYP1A1	CYP19A1
2460	hsa00590	PTGES3	CBR1
2462	hsa00590	PTGES3	TBXAS1
2463	hsa00590	TBXAS1	HPGDS
2464	hsa00590	PTGIS	TBXAS1
2465	hsa00590	PTGS1	TBXAS1
2466	hsa00590	PTGES3	HPGDS
2467	hsa00590	PTGIS	PTGES3
2468	hsa00590	PTGS1	PTGES3
2469	hsa00590	PTGIS	HPGDS
2470	hsa00590	PTGS1	HPGDS
2471	hsa00590	PTGS1	PTGIS
2472	hsa00590	AKR1C3	HPGDS
2473	hsa00590	GPX6	ALOX15
2474	hsa00590	CYP2C8	ALOX15
2476	hsa00590	CYP2C8	GPX6
2478	hsa00590	LTA4H	CYP4F3
2479	hsa00590	LTC4S	GGT1
2480	hsa00590	LTA4H	LTC4S
2481	hsa00590	ALOX5	LTC4S
2482	hsa00590	ALOX5	LTA4H
2483	hsa00590	GPX6	ALOX5
2485	hsa00590	EPHX2	CYP2B6
2489	hsa00590	CYP2U1	PLA2G4B
2490	hsa00590	CYP4F3	PLA2G4B
2491	hsa00590	CYP4A11	PLA2G4B
2492	hsa00590	CYP2E1	PLA2G4B
2494	hsa00590	PLA2G4B	ALOX5
2495	hsa00590	PLA2G4B	PTGS1
2496	hsa00590	ALOX15	PLA2G4B
2497	hsa00590	CYP2B6	PLA2G4B
2501	hsa00590	ALOX12	PLA2G4B
2502	hsa00590	ALOX12B	PLA2G4B
2503	hsa00590	ALOX15B	PLA2G4B
2504	hsa00590	CYP2U1	CYP2E1
2505	hsa00590	CYP2U1	CYP2U1
2506	hsa00590	CYP2U1	ALOX5
2507	hsa00590	CYP2U1	PTGS1
2508	hsa00590	CYP2U1	ALOX15
2509	hsa00590	CYP2B6	CYP2U1
2513	hsa00590	CYP2U1	ALOX12
2514	hsa00590	ALOX12B	CYP2U1
2515	hsa00590	ALOX15B	CYP2U1
2516	hsa00590	CYP4F3	CYP2E1
2517	hsa00590	CYP2U1	CYP4F3
2518	hsa00590	CYP4F3	ALOX5
2519	hsa00590	CYP4F3	PTGS1
2520	hsa00590	CYP4F3	ALOX15
2521	hsa00590	CYP2B6	CYP4F3
2525	hsa00590	CYP4F3	ALOX12
2526	hsa00590	ALOX12B	CYP4F3
2527	hsa00590	ALOX15B	CYP4F3
2528	hsa00590	CYP2E1	CYP4A11
2529	hsa00590	CYP2U1	CYP4A11
2530	hsa00590	CYP4A11	ALOX5
2531	hsa00590	CYP4A11	PTGS1
2532	hsa00590	CYP4A11	ALOX15
2533	hsa00590	CYP2B6	CYP4A11
2537	hsa00590	CYP4A11	ALOX12
2538	hsa00590	ALOX12B	CYP4A11
2539	hsa00590	ALOX15B	CYP4A11
2540	hsa00590	CYP2E1	ALOX5
2541	hsa00590	CYP2E1	PTGS1
2542	hsa00590	CYP2E1	ALOX15
2543	hsa00590	CYP2E1	ALOX12
2544	hsa00590	ALOX12B	CYP2E1
2545	hsa00590	ALOX15B	CYP2E1
2556	hsa00590	ALOX5	PTGS1
2557	hsa00590	ALOX15	ALOX5
2558	hsa00590	CYP2B6	ALOX5
2562	hsa00590	ALOX12	ALOX5
2563	hsa00590	ALOX12B	ALOX5
2564	hsa00590	ALOX15B	ALOX5
2565	hsa00590	ALOX15	PTGS1
2566	hsa00590	CYP2B6	PTGS1
2570	hsa00590	ALOX12	PTGS1
2571	hsa00590	ALOX12B	PTGS1
2572	hsa00590	ALOX15B	PTGS1
2573	hsa00590	CYP2B6	ALOX15
2577	hsa00590	ALOX12	ALOX15
2578	hsa00590	ALOX12B	ALOX15
2579	hsa00590	ALOX15B	ALOX15
2580	hsa00590	CYP2B6	ALOX12
2581	hsa00590	CYP2B6	ALOX12B
2582	hsa00590	CYP2B6	ALOX15B
2592	hsa00590	ALOX12B	ALOX12
2593	hsa00590	ALOX15B	ALOX12
2594	hsa00590	ALOX15B	ALOX12B
2595	hsa00590	PLA2G4B	Eicosanoids
2596	hsa00590	PLA2G4B	Linoleic acid metabolism
2597	hsa00590	CYP2U1	Eicosanoids
2598	hsa00590	CYP2U1	Linoleic acid metabolism
2599	hsa00590	CYP4F3	Eicosanoids
2600	hsa00590	CYP4F3	Linoleic acid metabolism
2601	hsa00590	CYP4A11	Eicosanoids
2602	hsa00590	CYP4A11	Linoleic acid metabolism
2603	hsa00590	CYP2E1	Eicosanoids
2604	hsa00590	CYP2E1	Linoleic acid metabolism
2607	hsa00590	ALOX5	Eicosanoids
2608	hsa00590	ALOX5	Linoleic acid metabolism
2609	hsa00590	PTGS1	Eicosanoids
2610	hsa00590	ALOX15	Eicosanoids
2611	hsa00590	CYP2B6	Eicosanoids
2615	hsa00590	Eicosanoids	Linoleic acid metabolism
2616	hsa00590	ALOX12	Eicosanoids
2617	hsa00590	ALOX12B	Eicosanoids
2618	hsa00590	ALOX15B	Eicosanoids
2619	hsa00590	PTGS1	Linoleic acid metabolism
2620	hsa00590	ALOX15	Linoleic acid metabolism
2621	hsa00590	CYP2B6	Linoleic acid metabolism
2625	hsa00590	ALOX12	Linoleic acid metabolism
2626	hsa00590	ALOX12B	Linoleic acid metabolism
2627	hsa00590	ALOX15B	Linoleic acid metabolism
2628	hsa00590	CYP4A11	CYP2J2
2629	hsa00590	CYP4F3	CYP2J2
2630	hsa00590	CYP2U1	CYP2J2
2631	hsa00590	PLA2G4B	CYP2J2
2632	hsa00590	ALOX15B	CYP2J2
2633	hsa00590	ALOX12B	CYP2J2
2634	hsa00590	ALOX12	CYP2J2
2635	hsa00590	Linoleic acid metabolism	CYP2J2
2636	hsa00590	CYP2B6	CYP2E1
2640	hsa00590	ALOX15	CYP2J2
2641	hsa00590	PTGS1	CYP2J2
2642	hsa00590	Eicosanoids	CYP2J2
2643	hsa00590	ALOX5	CYP2J2
2644	hsa00590	CBR1	PRXL2B
2646	hsa00590	TBXAS1	PRXL2B
2647	hsa00590	PTGES3	PRXL2B
2648	hsa00590	HPGDS	PRXL2B
2649	hsa00590	PTGIS	PRXL2B
2650	hsa00590	PTGS1	PRXL2B
2652	hsa00590	CYP2B6	CYP2J2
2659	hsa00590	ALOX15	CYP4A11
2660	hsa00590	PTGS1	CYP4A11
2661	hsa00590	ALOX5	CYP4A11
2662	hsa00590	CYP4A11	CYP2U1
2663	hsa00590	CYP4A11	CYP4A11
2664	hsa00590	CYP4A11	CYP4F3
2666	hsa00590	CYP4A11	ALOX15B
2667	hsa00590	CYP4A11	ALOX12B
2671	hsa00590	CYP4A11	CYP2B6
2682	hsa00590	CYP4A11	CYP2E1
2690	hsa00590	CYP2C19	ALOX5
2691	hsa00590	CYP2C19	Eicosanoids
2692	hsa00590	CYP2C19	PTGS1
2693	hsa00590	CYP2C19	ALOX15
2694	hsa00590	CYP2C19	CYP2B6
2696	hsa00590	CYP2C19	CYP4A11
2699	hsa00590	CYP2C19	Linoleic acid metabolism
2700	hsa00590	CYP2C19	ALOX12
2701	hsa00590	CYP2C19	ALOX12B
2702	hsa00590	CYP2C19	ALOX15B
2703	hsa00590	CYP2C19	PLA2G4B
2704	hsa00590	CYP2C19	CYP2U1
2705	hsa00590	CYP2C19	CYP4F3
2707	hsa00590	CYP4F3	CYP4F8
2708	hsa00590	CYP2U1	CYP4F8
2709	hsa00590	CYP4A11	CYP4F8
2710	hsa00590	CYP4F8	ALOX5
2711	hsa00590	CYP4F8	PTGS1
2712	hsa00590	CYP4F8	ALOX15
2713	hsa00590	CYP4F8	CYP2B6
2715	hsa00590	CYP4F8	CYP4A11
2718	hsa00590	CYP4F8	ALOX15B
2719	hsa00590	CYP4F8	ALOX12B
2720	hsa00590	CYP4F8	ALOX12
2721	hsa00590	CYP4F8	PLA2G4B
2722	hsa00591	CYP1A2	PLA2G4B
2724	hsa00591	ALOX15	PLA2G4B
2725	hsa00591	CYP1A2	ALOX15
2727	hsa00591	CYP1A2	CYP2J2
2728	hsa00591	CYP1A2	CYP3A4
2729	hsa00591	CYP1A2	CYP2E1
2730	hsa00591	CYP1A2	CYP2C19
2731	hsa00591	CYP2J2	CYP1A2
2732	hsa00591	CYP2J2	CYP3A4
2733	hsa00591	CYP2J2	CYP2E1
2734	hsa00591	CYP2J2	CYP2C19
2735	hsa00591	CYP2J2	PLA2G4B
2736	hsa00591	CYP2J2	ALOX15
2737	hsa00591	CYP3A4	CYP1A2
2738	hsa00591	CYP3A4	CYP2J2
2739	hsa00591	CYP3A4	CYP2E1
2740	hsa00591	CYP3A4	CYP2C19
2741	hsa00591	CYP3A4	PLA2G4B
2742	hsa00591	CYP3A4	ALOX15
2743	hsa00591	CYP2E1	CYP1A2
2744	hsa00591	CYP2E1	CYP2J2
2745	hsa00591	CYP2E1	CYP3A4
2746	hsa00591	CYP2C19	CYP1A2
2747	hsa00591	CYP2C19	CYP2J2
2748	hsa00591	CYP2C19	CYP3A4
2749	hsa00591	CYP2C19	CYP2E1
2750	hsa00591	CYP2C19	PLA2G4B
2751	hsa00591	CYP2C19	ALOX15
2756	hsa00591	CYP2E1	PLA2G4B
2757	hsa00591	CYP2E1	ALOX15
2760	hsa00591	PLA2G4B	CYP2E1
2761	hsa00591	ALOX15	CYP2E1
2762	hsa00591	CYP2E1	CYP2C19
2763	hsa00980	GSTO2	CYP1A1
2764	hsa00980	EPHX1	CYP1A1
2766	hsa00980	EPHX1	GSTO2
2769	hsa00980	EPHX1	AKR1C1
2770	hsa00980	CYP1A1	GSTO2
2771	hsa00980	CYP1A1	EPHX1
2774	hsa00980	CYP2E1	GSTO2
2775	hsa00980	CYP2E1	EPHX1
2779	hsa00980	GSTO2	EPHX1
2786	hsa00980	GSTO2	GSTO2
2788	hsa00980	ALDH3A1	ADH1A
2789	hsa00980	CYP2E1	ALDH3A1
2790	hsa00980	CYP2E1	ADH1A
2791	hsa00980	CYP2E1	UGT2B11...
2792	hsa00980	UGT2B11...	ADH1A
2793	hsa00980	GSTO2	CYP2E1
2795	hsa00980	AKR1C1	CYP1A1
2796	hsa00980	HSD11B1	CYP1A1
2797	hsa00980	CBR1	CYP1A1
2798	hsa00980	CYP2A6	HSD11B1
2799	hsa00980	CYP2A6	CBR1
2800	hsa00980	CYP2A6	AKR1C1
2801	hsa00980	CBR1	CYP2A6
2803	hsa00980	CBR1	UGT2B11...
2804	hsa00980	HSD11B1	CYP2A6
2806	hsa00980	HSD11B1	UGT2B11...
2807	hsa00980	AKR1C1	CYP2A6
2809	hsa00980	AKR1C1	UGT2B11...
2810	hsa00980	CYP2A6	UGT2B11...
2812	hsa00980	CYP1B1	CYP2B6
2813	hsa00980	CYP1B1	EPHX1
2815	hsa00980	CYP2B6	SULT2A1
2817	hsa00980	CYP1A2	CYP3A4
2819	hsa00980	CYP1A2	CYP2A13
2820	hsa00980	CYP1A2	EPHX1
2821	hsa00980	CYP1A2	GSTO2
2823	hsa00980	CYP2A13	CBR1
2824	hsa00980	CYP2A13	HSD11B1
2825	hsa00980	CYP2A13	AKR1C1
2826	hsa00980	CYP2A13	CYP2A6
2827	hsa00980	CYP2A13	UGT2B11...
2828	hsa00980	CYP2A6	CYP2A13
2829	hsa00980	CBR1	CYP2A13
2830	hsa00980	HSD11B1	CYP2A13
2831	hsa00980	AKR1C1	CYP2A13
2834	hsa00980	CYP1A2	CYP2A6
2838	hsa00980	CYP2A6	CYP3A4
2839	hsa00980	CYP2A6	EPHX1
2840	hsa00980	CYP2A6	GSTO2
2841	hsa00980	CYP3A4	EPHX1
2842	hsa00980	CYP3A4	GSTO2
2843	hsa00980	CYP2A6	CYP1A1
2845	hsa00980	107987478...	CYP1A1
2846	hsa00980	107987478...	CYP2A6
2847	hsa00980	107987478...	CYP3A4
2848	hsa00980	107987478...	AKR1C1
2849	hsa00980	107987478...	HSD11B1
2850	hsa00980	107987478...	CBR1
2851	hsa00980	CYP2E1	CYP1A1
2852	hsa00980	CYP2E1	CYP2A6
2853	hsa00980	CYP2E1	CYP3A4
2854	hsa00980	CYP2E1	AKR1C1
2855	hsa00980	CYP2E1	HSD11B1
2856	hsa00980	CYP2E1	CBR1
2860	hsa00980	CYP3A4	AKR1C1
2861	hsa00980	CYP3A4	HSD11B1
2862	hsa00980	CYP3A4	CBR1
2864	hsa00980	107987478...	CYP2A13
2865	hsa00980	CYP2A13	CYP3A4
2866	hsa00980	CYP2A13	CYP1A1
2871	hsa00980	CYP2E1	CYP2A13
2878	hsa00980	GSTO2	CYP2A13
2879	hsa00980	EPHX1	CYP2A13
2880	hsa00980	CYP2C9	EPHX1
2887	hsa00980	CYP2C9	GSTO2
2889	hsa00980	CYP1B1	GSTO2
2895	hsa00980	EPHX1	CYP3A4
2896	hsa00980	EPHX1	CYP1B1
2897	hsa00980	EPHX1	CYP2C9
2898	hsa00980	GSTO2	CYP3A4
2899	hsa00980	GSTO2	CYP1B1
2900	hsa00980	GSTO2	CYP2C9
2909	hsa00980	CYP1A1	CYP2E1
2919	hsa00982	FMO1...	CYP3A4
2921	hsa00982	FMO1...	107987478...
2922	hsa00982	CYP3A4	107987478...
2928	hsa00982	107987478...	CYP3A4
2929	hsa00982	CYP1A2	CYP3A4
2930	hsa00982	CYP3A4	CYP1A2
2931	hsa00982	CYP2B6	CYP2A6
2932	hsa00982	CYP2C9	CYP2A6
2933	hsa00982	UGT2B11...	CYP3A4
2934	hsa00982	UGT2B11...	107987478...
2936	hsa00982	107987478...	UGT2B11...
2938	hsa00982	CYP3A4	CYP2C8
2939	hsa00982	CYP2B6	CYP3A4
2940	hsa00982	CYP2B6	CYP2C8
2941	hsa00982	CYP3A4	CYP2E1
2942	hsa00982	CYP2E1	CYP3A4
2943	hsa00982	ALDH3A1	ADH1A
2944	hsa00982	CYP3A4	CYP2C19
2945	hsa00982	CYP3A4	CYP2B6
2946	hsa00982	CYP2C19	CYP3A4
2948	hsa00982	GSTO2	ADH1A
2949	hsa00982	GSTO2	ALDH3A1
2950	hsa00982	ADH1A	ALDH3A1
2954	hsa00982	CYP2B6	CYP2C19
2955	hsa00982	107987478...	MAOA
2956	hsa00982	107987478...	CYP2C19
2958	hsa00982	MAOA	CYP2C19
2959	hsa00982	MAOA	CYP3A4
2960	hsa00982	MAOA	107987478...
2962	hsa00982	CYP3A4	MAOA
2964	hsa00982	CYP2C19	MAOA
2965	hsa00982	CYP2C19	107987478...
2968	hsa00982	MAOA	AOX1
2971	hsa00982	CYP3A5	CYP3A4
2972	hsa00982	CYP3A5	CYP2B6
2973	hsa00982	CYP3A5	CYP2C19
2974	hsa00982	CYP2C9	CYP3A4
2975	hsa00982	CYP2C9	FMO1...
2977	hsa00982	CYP3A4	CYP2C9
2978	hsa00983	TPMT	HPRT1
2979	hsa00983	TPMT	XDH
2980	hsa00983	HPRT1	XDH
2981	hsa00983	HPRT1	TPMT
2983	hsa00983	HPRT1	ITPA
2984	hsa00983	HPRT1	IMPDH1
2986	hsa00983	ITPA	IMPDH1
2987	hsa00983	ITPA	TPMT
2988	hsa00983	IMPDH1	TPMT
2989	hsa00983	IMPDH1	GMPS
2990	hsa00983	GMPS	TPMT
2991	hsa00983	GMPS	HPRT1
2993	hsa00983	CES1	CDA
2994	hsa00983	CDA	TYMP
2995	hsa00983	CYP2A6	DPYD
2996	hsa00983	CYP2A6	UMPS
2997	hsa00983	CYP2A6	UPP2
2998	hsa00983	CYP2A6	TYMP
2999	hsa00983	DPYD	UMPS
3000	hsa04932	IL6	IL6R
3001	hsa04932	IL6R	SOCS3
3003	hsa04932	SOCS3	IRS1
3004	hsa04932	TNF	TNFRSF1A
3005	hsa04932	TNFRSF1A	NFKB1
3007	hsa04932	NFKB1	IL6
3008	hsa04932	INS	INSR
3009	hsa04932	INSR	IRS1
3010	hsa04932	IRS1	PIK3CA
3011	hsa04932	PIK3CA	AKT3
3013	hsa04932	AKT3	GSK3A...
3016	hsa04932	C00031	MLXIP
3017	hsa04932	NR1H3	RXRA
3018	hsa04932	MLXIP	PKLR
3019	hsa04932	LEP	LEPR
3020	hsa04932	LEPR	PRKAG2
3022	hsa04932	ADIPOQ	ADIPOR1
3023	hsa04932	ADIPOR1	PRKAG2
3025	hsa04932	ADIPOQ	PPARA
3027	hsa04932	PPARA	RXRA
3028	hsa04932	C00162	PPARA
3030	hsa04932	C00162	CDC42
3032	hsa04932	C00162	RAC1
3034	hsa04932	CDC42	MAP3K11
3035	hsa04932	RAC1	MAP3K11
3036	hsa04932	MAP3K11	MAPK8
3038	hsa04932	MAPK8	JUN
3039	hsa04932	MAPK8	MAPK8
3040	hsa04932	C00162	TNF
3042	hsa04932	TNF	MAPK8
3044	hsa04932	MAPK8	ITCH
3046	hsa04932	ITCH	CASP8
3048	hsa04932	C00162	ERN1
3050	hsa04932	ERN1	TRAF2
3051	hsa04932	TRAF2	MAP3K5
3052	hsa04932	MAP3K5	MAPK8
3054	hsa04932	TRAF2	IKBKB
3055	hsa04932	IKBKB	NFKB1
3056	hsa04932	NFKB1	IL1A
3058	hsa04932	NFKB1	TNF
3059	hsa04932	C00162	EIF2AK3
3061	hsa04932	EIF2AK3	EIF2S1
3063	hsa04932	EIF2S1	ATF4
3064	hsa04932	ATF4	DDIT3
3065	hsa04932	DDIT3	BCL2L11
3066	hsa04932	BCL2L11	BAX
3067	hsa04932	C00162	FASLG
3068	hsa04932	FASLG	FAS
3069	hsa04932	FAS	CASP8
3071	hsa04932	CASP8	BID
3072	hsa04932	BID	CYCS
3074	hsa04932	CYCS	CASP3
3076	hsa04932	CYCS	CASP7
3078	hsa04932	ERN1	XBP1
3079	hsa04932	XBP1	CEBPA
3080	hsa05204	CYP1A1	EPHX1
3081	hsa05204	CYP1A1	GSTO2
3083	hsa05204	GSTO2	EPHX1
3086	hsa05204	ALDH3A1	ADH1A
3087	hsa05204	UGT2B11...	ADH1A
3088	hsa05204	AKR1C2	CYP2A6
3089	hsa05204	HSD11B1	CYP2A6
3090	hsa05204	CBR1	CYP2A6
3091	hsa05204	CYP2A6	HSD11B1
3092	hsa05204	CYP2A6	CBR1
3093	hsa05204	CYP2A6	AKR1C2
3096	hsa05204	CBR1	UGT2B11...
3099	hsa05204	HSD11B1	UGT2B11...
3102	hsa05204	AKR1C2	UGT2B11...
3103	hsa05204	CYP2A6	UGT2B11...
3105	hsa05204	CYP1A1	CYP1A1
3107	hsa05204	EPHX1	CYP1A1
3108	hsa05204	CYP1A1	SULT2A1
3109	hsa05204	C07535	ARNT
3110	hsa05204	C16453	CHRNA7
3111	hsa00232	NAT2	CYP1A2
3112	hsa00232	CYP1A2	NAT2
3113	hsa00232	NAT2	XDH
3114	hsa00232	CYP1A2	XDH
3118	hsa00232	CYP2A6	NAT2
3119	hsa00232	CYP2A6	CYP1A2
3121	hsa00830	DHRS4	AOX1
3122	hsa00830	DHRS4	ALDH1A1
3123	hsa00830	RDH12	AOX1
3124	hsa00830	RDH12	ALDH1A1
3125	hsa00830	RETSAT	CYP26A1
3126	hsa00830	RETSAT	ADH1A
3127	hsa00830	RETSAT	RDH12
3128	hsa00830	RETSAT	DHRS9
3129	hsa00830	RETSAT	LRAT
3130	hsa00830	RETSAT	AWAT2
3131	hsa00830	RETSAT	PNPLA4
3132	hsa00830	CYP26A1	ADH1A
3133	hsa00830	CYP26A1	RDH12
3134	hsa00830	CYP26A1	DHRS9
3135	hsa00830	CYP26A1	LRAT
3136	hsa00830	CYP26A1	AWAT2
3137	hsa00830	CYP26A1	PNPLA4
3138	hsa00830	ADH1A	LRAT
3139	hsa00830	ADH1A	AWAT2
3140	hsa00830	ADH1A	PNPLA4
3141	hsa00830	RDH12	LRAT
3142	hsa00830	RDH12	AWAT2
3143	hsa00830	RDH12	PNPLA4
3144	hsa00830	DHRS9	LRAT
3145	hsa00830	DHRS9	AWAT2
3146	hsa00830	DHRS9	PNPLA4
3147	hsa00830	LRAT	RPE65
3148	hsa00830	AWAT2	RPE65
3149	hsa00830	PNPLA4	RPE65
3150	hsa00830	RPE65	AWAT2
3151	hsa00830	RPE65	LRAT
3152	hsa00830	RPE65	RDH10
3153	hsa00830	AWAT2	RDH10
3154	hsa00830	LRAT	RDH10
3155	hsa00830	BCO1	ADH1A
3156	hsa00830	BCO1	RDH12
3157	hsa00830	BCO1	DHRS9
3158	hsa00830	BCO1	ALDH1A1
3159	hsa00830	BCO1	AOX1
3160	hsa00830	ADH1A	ALDH1A1
3161	hsa00830	ADH1A	AOX1
3164	hsa00830	DHRS9	ALDH1A1
3165	hsa00830	DHRS9	AOX1
3166	hsa00830	AOX1	CYP26A1
3167	hsa00830	AOX1	CYP1A1
3168	hsa00830	AOX1	CYP3A7-CYP3A51P
3169	hsa00830	AOX1	CYP2A6
3174	hsa00830	AOX1	CYP4A11
3177	hsa00830	AOX1	UGT2B11...
3178	hsa00830	ALDH1A1	CYP26A1
3179	hsa00830	ALDH1A1	CYP1A1
3180	hsa00830	ALDH1A1	CYP3A7-CYP3A51P
3181	hsa00830	ALDH1A1	CYP2A6
3186	hsa00830	ALDH1A1	CYP4A11
3189	hsa00830	ALDH1A1	UGT2B11...
3190	hsa00830	CYP26A1	CYP1A1
3191	hsa00830	CYP26A1	CYP2A6
3192	hsa00830	CYP26A1	CYP3A7-CYP3A51P
3193	hsa00830	CYP26A1	CYP4A11
3196	hsa00830	CYP26A1	UGT2B11...
3197	hsa00830	CYP1A1	CYP26A1
3198	hsa00830	CYP1A1	CYP2A6
3199	hsa00830	CYP1A1	CYP3A7-CYP3A51P
3200	hsa00830	CYP1A1	CYP4A11
3203	hsa00830	CYP1A1	UGT2B11...
3204	hsa00830	CYP3A7-CYP3A51P	CYP26A1
3205	hsa00830	CYP3A7-CYP3A51P	CYP1A1
3206	hsa00830	CYP3A7-CYP3A51P	CYP2A6
3207	hsa00830	CYP3A7-CYP3A51P	CYP4A11
3209	hsa00830	CYP3A7-CYP3A51P	UGT2B11...
3210	hsa00830	CYP2A6	CYP26A1
3211	hsa00830	CYP2A6	CYP1A1
3212	hsa00830	CYP2A6	CYP3A7-CYP3A51P
3213	hsa00830	CYP2A6	CYP4A11
3215	hsa00830	CYP2A6	UGT2B11...
3226	hsa00830	CYP4A11	CYP2A6
3227	hsa00830	CYP4A11	CYP3A7-CYP3A51P
3228	hsa00830	CYP4A11	UGT2B11...
3243	hsa00830	PNPLA4	SDR16C5
3244	hsa00830	AWAT2	SDR16C5
3245	hsa00830	LRAT	SDR16C5
3246	hsa00830	SDR16C5	RETSAT
3247	hsa00830	SDR16C5	BCO1
3248	hsa00830	SDR16C5	ALDH1A1
3249	hsa00830	SDR16C5	AOX1
3250	hsa00830	CYP26A1	SDR16C5
3251	hsa00830	CYP26A1	CYP27C1
3252	hsa00830	ADH1A	CYP27C1
3253	hsa00830	SDR16C5	CYP27C1
3254	hsa00830	RDH12	CYP27C1
3255	hsa00830	DHRS9	CYP27C1
3256	hsa00830	LRAT	CYP27C1
3257	hsa00830	AWAT2	CYP27C1
3258	hsa00830	PNPLA4	CYP27C1
3259	hsa00830	RETSAT	CYP27C1
3260	hsa01521	EGF	EGFR
3261	hsa01521	TGFA	EGFR
3262	hsa01521	HGF	MET
3263	hsa01521	MET	ERBB3
3265	hsa01521	IGF1	IGF1R
3267	hsa01521	VEGFA	KDR
3268	hsa01521	PDGFA	PDGFRA
3269	hsa01521	FGF2	FGFR3
3270	hsa01521	GAS6	AXL
3271	hsa01521	IL6	IL6R
3272	hsa01521	D01977	EGFR
3278	hsa01521	D07907	EGFR
3284	hsa01521	EGFR	JAK1
3285	hsa01521	EGFR	SRC
3286	hsa01521	EGFR	GAB1
3287	hsa01521	EGFR	PLCG1
3288	hsa01521	EGFR	SHC2
3289	hsa01521	MET	JAK1
3290	hsa01521	MET	SRC
3291	hsa01521	MET	GAB1
3292	hsa01521	MET	PLCG1
3293	hsa01521	MET	SHC2
3294	hsa01521	IGF1R	JAK1
3295	hsa01521	IGF1R	SRC
3296	hsa01521	IGF1R	GAB1
3297	hsa01521	IGF1R	PLCG1
3298	hsa01521	IGF1R	SHC2
3304	hsa01521	KDR	JAK1
3305	hsa01521	KDR	SRC
3306	hsa01521	KDR	GAB1
3307	hsa01521	KDR	PLCG1
3308	hsa01521	KDR	SHC2
3309	hsa01521	PDGFRA	JAK1
3310	hsa01521	PDGFRA	SRC
3311	hsa01521	PDGFRA	GAB1
3312	hsa01521	PDGFRA	PLCG1
3313	hsa01521	PDGFRA	SHC2
3314	hsa01521	FGFR3	JAK1
3315	hsa01521	FGFR3	SRC
3316	hsa01521	FGFR3	GAB1
3317	hsa01521	FGFR3	PLCG1
3318	hsa01521	FGFR3	SHC2
3319	hsa01521	AXL	JAK1
3320	hsa01521	AXL	SRC
3321	hsa01521	AXL	GAB1
3322	hsa01521	AXL	PLCG1
3323	hsa01521	AXL	SHC2
3324	hsa01521	IL6R	JAK1
3325	hsa01521	IL6R	SRC
3326	hsa01521	IL6R	GAB1
3327	hsa01521	IL6R	PLCG1
3328	hsa01521	IL6R	SHC2
3329	hsa01521	JAK1	STAT3
3331	hsa01521	SRC	STAT3
3333	hsa01521	GAB1	PIK3CA
3334	hsa01521	PIK3CA	C05981
3335	hsa01521	C05981	AKT3
3336	hsa01521	PTEN	C05981
3338	hsa01521	AKT3	MTOR
3340	hsa01521	MTOR	RPS6KB1
3342	hsa01521	RPS6KB1	RPS6
3343	hsa01521	MTOR	EIF4EBP1
3345	hsa01521	EIF4EBP1	EIF4E
3346	hsa01521	AKT3	BAD
3348	hsa01521	AKT3	GSK3B
3350	hsa01521	AKT3	FOXO3
3352	hsa01521	FOXO3	BCL2L11
3353	hsa01521	PLCG1	C00165
3354	hsa01521	C00165	PRKCA
3355	hsa01521	PRKCA	ARAF
3357	hsa01521	SHC2	GRB2
3358	hsa01521	GRB2	SOS1
3359	hsa01521	SOS1	HRAS
3360	hsa01521	HRAS	ARAF
3361	hsa01521	ARAF	MAP2K1
3363	hsa01521	MAP2K1	MAPK1
3365	hsa01521	NF1	HRAS
3367	hsa01521	MAPK1	BCL2L11
3369	hsa01521	BCL2L11	BAX
3370	hsa01521	BCL2L11	BCL2L1
3371	hsa01521	BCL2L11	BCL2
3372	hsa01521	BCL2L1	BAX
3373	hsa01521	BCL2	BAX
3374	hsa01521	STAT3	STAT3
3375	hsa04912	ADCY1	PRKACA
3376	hsa04912	PLCB1	ITPR1
3377	hsa04912	ITPR1	CALML6
3378	hsa04912	PLCB1	PRKCA
3379	hsa04912	GNRH1	GNRHR
3380	hsa04912	GNRHR	GNAS
3381	hsa04912	GNAS	ADCY1
3382	hsa04912	GNRHR	GNA11
3383	hsa04912	GNA11	PLCB1
3384	hsa04912	CALML6	CAMK2A
3385	hsa04912	MMP2	HBEGF
3386	hsa04912	HBEGF	EGFR
3387	hsa04912	EGFR	GRB2
3388	hsa04912	GRB2	SOS1
3389	hsa04912	SOS1	HRAS
3390	hsa04912	HRAS	RAF1
